,Closest City name,Closest Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
0,grand baie,mu,-20.02,57.58,27.0,9.3,78.0,75.0
1,tarakan,id,3.3,117.63,24.66,0.96,100.0,76.0
4,ardakan,ir,32.31,54.02,15.0,2.1,19.0,0.0
5,kutum,sd,14.2,24.66,15.91,4.21,18.0,0.0
6,elko,us,40.83,-115.76,14.0,2.6,36.0,1.0
8,itaqui,br,-29.13,-56.55,26.61,3.81,51.0,36.0
9,fort dodge,us,42.5,-94.17,3.0,9.8,55.0,1.0
10,teguldet,ru,57.31,88.17,-25.74,1.16,43.0,0.0
11,beira,mz,-19.84,34.84,27.0,4.51,83.0,40.0
12,pacifica,us,37.61,-122.49,16.0,2.6,82.0,75.0
13,ribeira grande,pt,38.52,-28.7,15.0,15.4,72.0,75.0
14,pingdingshan,cn,33.74,113.3,13.36,3.76,94.0,12.0
15,nha trang,vn,12.24,109.19,22.11,2.86,100.0,32.0
16,danielskuil,za,-28.19,23.54,19.16,4.01,57.0,0.0
20,verkhnevilyuysk,ru,63.45,120.31,-23.34,2.16,70.0,36.0
22,nosy varika,mg,-20.58,48.53,24.91,1.51,100.0,92.0
23,jacqueville,ci,5.21,-4.42,29.0,5.7,79.0,40.0
24,jamsa,fi,61.86,25.19,-1.0,4.1,100.0,90.0
25,komsomolskiy,ru,67.55,63.78,-20.54,7.31,80.0,76.0
26,vestmanna,fo,62.16,-7.17,3.0,10.3,86.0,92.0
27,sao joao da barra,br,-21.64,-41.05,31.0,5.1,55.0,20.0
28,acajutla,sv,13.59,-89.83,34.0,3.1,74.0,20.0
29,isiro,cd,2.77,27.62,21.41,1.01,91.0,48.0
30,kuching,my,1.56,110.34,24.0,2.61,94.0,75.0
31,lagoa,pt,37.14,-8.45,16.0,3.6,93.0,75.0
32,lima,pe,-12.06,-77.04,22.51,1.11,57.0,36.0
34,new norfolk,au,-42.78,147.06,12.0,2.6,81.0,75.0
35,utrecht,za,-27.66,30.32,11.96,1.16,86.0,0.0
37,faanui,pf,-16.48,-151.75,27.31,5.01,100.0,48.0
38,reconquista,ar,-29.14,-59.64,23.26,4.61,77.0,24.0
39,el tigre,ve,8.89,-64.25,34.36,7.56,32.0,0.0
40,trairi,br,-3.28,-39.27,27.96,5.36,100.0,44.0
41,erenhot,cn,43.65,111.97,-0.24,2.26,80.0,12.0
42,morro bay,us,35.37,-120.85,17.0,5.7,87.0,90.0
43,tera,ne,14.01,0.75,25.16,2.86,26.0,0.0
44,seymchan,ru,62.93,152.39,-37.04,0.91,61.0,12.0
45,orotukan,ru,62.26,151.67,-35.49,1.21,52.0,20.0
46,dunedin,nz,-45.87,170.5,12.86,3.86,62.0,0.0
47,moranbah,au,-22.0,148.04,20.01,4.26,85.0,0.0
48,saint-philippe,re,-21.36,55.77,27.0,9.8,69.0,0.0
49,saldanha,za,-33.01,17.94,19.0,2.1,77.0,36.0
50,shakawe,bw,-18.36,21.84,23.01,4.36,59.0,0.0
51,namatanai,pg,-3.66,152.44,28.26,4.06,100.0,56.0
52,polillo,ph,15.46,120.92,23.0,1.0,78.0,40.0
53,isangel,vu,-19.55,169.27,28.61,8.31,95.0,44.0
54,kailua,us,21.39,-157.74,23.0,8.2,69.0,90.0
55,ciudad guayana,ve,8.32,-62.69,31.86,4.36,51.0,0.0
56,porto novo,cv,17.02,-25.06,23.0,14.9,69.0,20.0
57,ewa beach,us,21.32,-158.01,23.0,8.2,69.0,90.0
58,rincon de la victoria,es,36.72,-4.28,18.0,0.5,77.0,40.0
59,verkhnyaya inta,ru,65.99,60.32,-4.99,3.11,80.0,80.0
60,iisalmi,fi,63.56,27.19,-1.0,2.6,100.0,90.0
61,beitbridge,zw,-22.22,30.0,21.96,2.96,84.0,0.0
62,lepaterique,hn,14.07,-87.47,33.0,6.7,29.0,1.0
