,Closest City name,Closest Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
0,daphne,us,30.6,-87.9,18.0,3.6,53.0,1.0
1,myrtle beach,us,33.7,-78.89,13.0,3.1,37.0,1.0
2,sciacca,it,37.51,13.08,14.0,5.1,93.0,0.0
3,sao joao batista,br,-3.13,-58.38,29.0,1.5,79.0,75.0
4,braco do norte,br,-28.27,-49.17,22.36,2.21,73.0,0.0
5,naze,jp,28.37,129.48,18.66,4.76,100.0,56.0
6,cajibio,co,2.03,-76.62,21.71,0.21,43.0,8.0
7,nakama,jp,33.82,130.71,11.0,2.6,87.0,0.0
8,tautira,pf,-17.73,-149.15,30.0,9.3,66.0,75.0
9,yaguacire,hn,14.01,-87.22,34.0,5.7,28.0,1.0
10,nuoro,it,40.32,9.33,13.0,2.6,79.0,20.0
12,masakin,tn,35.73,10.58,17.0,2.1,59.0,0.0
13,polis,cy,35.04,32.42,16.0,1.0,82.0,75.0
14,garh maharaja,pk,30.83,71.9,18.46,4.81,79.0,44.0
15,papetoai,pf,-17.5,-149.87,30.0,9.3,66.0,75.0
16,gayeri,bf,12.65,0.49,27.36,3.86,31.0,8.0
17,maceio,br,-9.67,-35.74,27.0,5.1,83.0,0.0
18,romitan,uz,39.93,64.38,4.0,3.1,85.0,75.0
19,prachin buri,th,14.05,101.37,23.21,1.76,92.0,0.0
20,thohoyandou,za,-22.97,30.46,21.46,1.91,79.0,0.0
21,sa kaeo,th,13.8,102.09,23.01,1.06,96.0,8.0
22,hoima,ug,1.43,31.35,18.91,1.16,89.0,24.0
23,erdemli,tr,36.61,34.31,8.96,1.11,99.0,56.0
24,carpinteria,us,34.4,-119.52,18.0,3.1,93.0,90.0
26,san andres,co,8.22,-76.58,29.0,7.2,70.0,75.0
27,anderson,us,34.51,-82.65,13.0,5.7,26.0,1.0
28,zhob,pk,31.34,69.45,2.56,1.21,85.0,0.0
29,mayya,ru,61.74,130.28,-26.0,2.31,83.0,0.0
31,jiaonan,cn,35.88,119.98,16.0,4.0,63.0,0.0
32,hendersonville,us,36.3,-86.62,11.0,5.1,39.0,75.0
33,macomer,it,40.26,8.77,11.0,1.0,81.0,0.0
34,guacimo,cr,10.21,-83.68,29.0,8.2,47.0,40.0
35,ituiutaba,br,-18.97,-49.46,29.61,1.31,72.0,0.0
36,itajuba,br,-22.43,-45.45,29.0,1.0,62.0,40.0
37,san cristobal,ec,-1.02,-79.44,19.16,1.06,100.0,80.0
38,yabelo,et,4.89,38.09,18.26,0.96,85.0,56.0
39,kabanjahe,id,3.1,98.49,17.66,0.76,100.0,68.0
40,muskegon,us,43.23,-86.25,-1.0,7.7,42.0,90.0
41,paralimni,cy,35.04,33.98,15.0,3.6,93.0,75.0
42,kudahuvadhoo,mv,2.67,72.89,27.76,2.21,100.0,80.0
43,birecik,tr,37.03,37.98,10.0,1.41,87.0,0.0
44,capao bonito,br,-24.01,-48.35,28.16,2.46,57.0,20.0
45,farkhor,tj,37.49,69.4,6.06,1.41,99.0,92.0
47,dire dawa,et,9.59,41.86,13.91,0.96,77.0,12.0
48,totma,ru,59.98,42.76,1.16,8.66,98.0,92.0
49,navirai,br,-23.07,-54.19,29.51,2.36,74.0,44.0
50,montijo,pa,7.99,-81.05,27.76,0.31,86.0,48.0
51,sananduva,br,-27.95,-51.81,30.0,4.6,37.0,0.0
52,duma,sy,33.57,36.4,12.0,4.1,66.0,0.0
53,michigan city,us,41.71,-86.9,0.0,5.1,100.0,90.0
54,huntsville,us,34.73,-86.59,13.0,6.2,1.0,1.0
55,muscle shoals,us,34.75,-87.67,13.0,7.7,30.0,1.0
56,turukhansk,ru,65.8,87.96,-16.74,6.46,69.0,68.0
57,andra,ru,62.52,65.89,-10.99,3.26,80.0,8.0
58,altamont,us,37.19,-95.3,13.0,6.7,20.0,1.0
59,kahta,tr,37.78,38.62,11.0,2.1,71.0,0.0
60,mazagao,br,-0.12,-51.29,30.0,4.1,70.0,75.0
61,nashville,us,36.16,-86.77,11.0,5.7,36.0,20.0
62,sarangani,ph,5.4,125.46,28.01,2.11,100.0,36.0
63,kaffrine,sn,14.1,-15.55,30.81,2.81,23.0,0.0
64,hun,ly,29.13,15.95,15.96,3.21,37.0,0.0
65,dalvik,is,65.97,-18.53,2.0,5.7,69.0,75.0
